q0001  00:00.0-00:03.4  Доброе утро, Пэм.
q0002  00:03.9-00:05.2  О, с возвращением, Энди.
q0003  00:05.7-00:07.6  Дрю. Я теперь Дрю.
q0004  00:08.2-00:10.4  О, Дрю. Прости.
q0005  00:11.2-00:13.1  Извинения не принимаются.
q0006  00:14.3-00:16.5  В первую очередь, потому что они не нужны.
q0007  00:18.5-00:22.0  Несколько недель назад у Энди Бернарда произошёл инцидент.
q0008  00:25.0-00:30.0  Но после пяти недель управления гневом, я вернулся, и у меня новое мировоззрение.
q0009  00:30.0-00:31.5  зрение и новое имя.
q0010  00:33.0-00:36.8  И куча новых методов договариваться с занудами.
q0011  00:37.2-00:38.1  Доброе утро, Джим.
q0012  00:39.0-00:40.4  Привет, Энди, как дела, чувак?
q0013  00:41.0-00:42.0  Хорошо, Дрю.
q0014  00:42.6-00:43.1  Что такое?
q0015  00:43.7-00:44.8  Можешь звать меня Дрю?
q0016  00:45.3-00:46.8  Нет, я не буду тебя так звать.
q0017  00:47.8-00:52.1  Лёва, я не могу контролировать тебя, я могу контролировать
q0018  00:52.1-00:52.9  только себя.
q0019  00:53.2-00:54.7  Энди, Дрю.
q0020  00:57.5-00:57.9  Давай.
q0021  01:00.0-01:01.3  Как дела, приятель?
q0022  01:03.2-01:03.4  Да.
q0023  01:03.9-01:06.9  Я решил игнорировать Энди Бернарда следующие три года.
q0024  01:07.2-01:08.6  Я ждал этого с нетерпением.
q0025  01:09.1-01:10.1  Это метод Амишей.
q0026  01:11.1-01:12.6  Припечатать кого-то молчанием.
q0027  01:13.3-01:15.9  Меня игнорировали с четырёх лет до шестого дня рождения
q0028  01:15.9-01:18.9  за то, что я не оставил масла в банке из-под тунца.
q0029  01:19.0-01:23.4  Джим, не мог бы ты проинформировать Энди Бернарда, что я его игнорирую?
q0030  01:24.4-01:28.4  Энди, Дуайт говорит, что рад твоему возвращению, и ты можешь его обнять.
q0031  01:28.4-01:30.2  Ладно, скажи ему, что это неправда.
q0032  01:30.5-01:33.6  Дуэт говорит, что он не знает ни единого факта о нападении медведей.
q0033  01:33.9-01:34.8  Так, нет, Джим.
q0034  01:35.2-01:38.5  Ну, ребята, скажи ему, что медведи могут лазать быстрее, чем бегать.
q0035  01:38.5-01:39.9  Джим, скажи ему!
q0036  01:40.9-01:42.4  Энди, нет, он ушёл.
q0037  01:43.5-01:44.1  Ты гад.
q0038  01:49.9-01:51.9  В ролях Стив Карл,
q0039  01:53.5-01:54.6  Рейн Уилсон,
q0040  01:55.6-01:56.7  Джон Красинский,
q0041  01:57.2-01:58.2  Дженна Фишер,
q0042  01:58.4-01:59.8  И Би-Джей Новак.
q0043  02:03.4-02:04.2  Офис.
q0044  02:05.8-02:09.1  Сегодня день обучения техники безопасности.
