q0001  00:00.0-00:30.0  Девушки воровушки
q0002  00:30.0-00:30.8  призрачная.
q0003  00:32.0-00:34.0  Дядя говорит, я похож на замориного
q0004  00:34.0-00:35.1  до смерти девственника.
q0005  00:36.2-00:37.5  Да, есть немного.
q0006  00:41.2-00:42.9  Слышал, у вас вечеринка?
q0007  00:43.5-00:43.8  Да.
q0008  00:44.9-00:45.9  Я слишком рано?
q0009  00:46.3-00:46.7  Нет.
q0010  00:49.6-00:51.7  Ну что ж, тогда
q0011  00:51.7-00:54.1  поздравляю. Если вас послал
q0012  00:54.1-00:55.8  Гевин, имейте в виду, я ему отказал.
q0013  00:55.8-00:57.4  Я буду работать с Питером Грегори,
q0014  00:57.6-00:58.7  завтра иду за чеком.
q0015  00:58.7-01:00.1  Вот так я решил.
q0016  01:00.5-01:03.0  Нет, я не за этим, я...
q0017  01:03.0-01:06.6  Вы отказались от 10 миллионов ради собственного дела.
q0018  01:06.9-01:09.5  Это очень смелый поступок.
q0019  01:09.7-01:12.2  Так, так, так, так, что он тут делает?
q0020  01:12.4-01:15.2  Это частная вечеринка, дружок, так что катись отсюда.
q0021  01:15.6-01:16.9  Я не хотел...
q0022  01:16.9-01:20.1  В штате Калифорнии можно убить того, кто влез в дом без разрешения.
q0023  01:20.6-01:22.7  Ясно, я понял. Спасибо.
q0024  01:25.6-01:28.5  Ричард, я пришел сказать, что уважаю ваш выбор.
q0025  01:28.7-01:33.3  Если вам понадобятся мои услуги для развития бизнеса, я с радостью к вам присоединюсь.
q0026  01:33.7-01:34.5  Да хуй тебе!
q0027  01:35.3-01:37.6  Позовем, когда понадобятся мятые штаны.
q0028  01:42.0-01:43.9  Это вообще местная хуета.
q0029  01:44.7-01:46.2  Зачем ты с ним так грубо?
q0030  01:46.4-01:48.5  Он не шпионит пришел, а с миром.
q0031  01:48.8-01:49.6  Хочет быть с нами.
q0032  01:49.6-01:52.0  Ну еще бы, Ричард, дай-ка я тебя растолкую.
q0033  01:52.3-01:54.5  Ты всю жизнь был страшной телкой,
q0034  01:54.8-01:56.8  а тут вдруг стал клевой телочкой,
q0035  01:56.8-01:59.2  С большими титьками и мелкими сосками.
q0036  01:59.5-02:01.4  Их тебе будут подкатывать подобные типы.
q0037  02:01.7-02:03.0  Так не будь шлюхой, Ричард.
q0038  02:03.3-02:04.8  Да я...
q0039  02:04.8-02:06.5  Кстати, про шлюх.
q0040  02:07.0-02:09.2  Динеш, сделай-ка свет поэротичней.
q0041  02:09.6-02:12.4  Это сейчас тут будет пиздец как эротично.
q0042  02:13.3-02:14.6  Разрешаю килл 9.
q0043  02:14.9-02:16.5  IB Action.Erotica.
q0044  02:17.5-02:19.2  Что... что... что происходит?
q0045  02:19.3-02:20.1  Что за дела?
q0046  02:20.2-02:22.8  Господа, позвольте представить...
q0047  02:23.6-02:24.5  Макачина.
q0048  02:24.5-02:24.6  Макачина.
q0049  02:25.7-02:26.6  Нет, не он.
q0050  02:26.8-02:28.7  Макачино.
q0051  02:30.4-02:31.9  Это мой подарок.
q0052  02:35.2-02:37.0  Травку куришь?
q0053  02:46.3-02:47.7  Эй!
q0054  02:48.6-02:50.7  Включите что-нибудь ритмичное, а?
q0055  02:50.7-02:52.9  Я пойду поберу музычку.
q0056  02:53.3-02:55.4  У меня там вроде вода закипела.
q0057  02:56.8-03:08.1  Я не по этой части, так что не по адресу.
q0058  03:10.7-03:12.1  Ненавижу Пала-Альта.
q0059  03:16.5-03:17.7  Кремниевая долина.
q0060  03:25.0-03:26.4  Здрасте, еще раз.
q0061  03:26.4-03:29.8  У меня не так много танцевальной музыки, но я поднял басы.
q0062  03:30.0-03:32.8  Малыш, лови приватный танец.
q0063  03:35.3-03:37.5  Да ёпт твою...
q0064  03:37.5-03:39.4  Ага, задом, так задом.
q0065  03:41.4-03:44.5  Ничего, что мы его там бросили. Может, стоит вернуться?
q0066  03:44.8-03:47.2  Нафиг, я соблазняю плоть, а не покупаю.
q0067  03:47.4-03:50.6  Плюс Тара через пару недель приедет, я коплю соки для неё.
q0068  03:50.8-03:51.5  Ну, ты понял.
q0069  03:52.0-03:53.2  А твоё оправдание?
q0070  03:53.2-03:56.2  Я до 17 лет не мог женщине руку пожать.
q0071  03:56.4-04:03.3  А мысль возбудиться среди тех, с кем живу и работаю, меня вообще не улыбает.
q0072  04:03.6-04:06.6  Представь, у меня стояк, у тебя стояк, у него стояк.
q0073  04:06.9-04:08.8  Мы все сидим и у всех штанах стояки.
q0074  04:09.3-04:10.6  Интересно, как он там?
q0075  04:11.3-04:13.8  Ну, и чем вы тут занимаетесь?
q0076  04:13.9-04:17.3  Ну, разрабатываем алгоритм сжатия без потерь.
q0077  04:18.3-04:18.9  Чего?
q0078  04:19.3-04:20.4  Чтобы файл уменьшать.
q0079  04:20.4-04:22.5  Да не важно, называется Пеги-Дудочник.
q0080  04:22.6-04:24.4  Мы прославимся, услышишь, как-нибудь.
q0081  04:24.4-04:28.5  И какой женщине ты впервые пожал руку?
q0082  04:29.3-04:30.0  Почтальону
q0083  04:30.0-04:30.4  Что?
q0084  04:30.9-04:32.1  Это что, мужик был?
q0085  04:32.2-04:33.7  Нет, почтальон же
q0086  04:33.7-04:35.5  Только так не говорят
q0087  04:35.5-04:36.7  Тогда еще вопрос
q0088  04:36.7-04:38.9  Какой женщине ты во второй раз пожал руку?
