q0001  00:00.0-00:27.9  Кэнон Интернешнл представляет
q0002  00:30.0-00:45.0  Жан-Клод Ван Дамм
q0003  00:45.0-00:50.3  В фильме Ньюта Арнольда
q0004  00:50.3-00:54.1  Кровавый спорт
q0005  00:54.1-01:08.1  В ролях Дональд Гиб, Лея Эйрс, Норман Бертон, Форест Уиттекер и Бола Йенг в роли Чона Ли.
q0006  01:24.1-01:54.1  Субтитры создавал DimaTorzok
q0007  01:54.1-01:55.1  Слышь!
q0008  02:19.1-02:20.1  Сильней!
q0009  02:20.1-02:25.9  Джексон, ты едешь в Гонконг?
q0010  02:26.2-02:29.2  Полный контакт это по мне. Шрамы украсят эту мордашку.
q0011  02:29.4-02:31.2  Я слышал, у них там и убить могут.
q0012  02:31.5-02:32.9  Если ты хренов слабак.
q0013  02:45.0-02:47.6  Завтра мы отправляемся на Кумите.
q0014  02:47.6-02:51.5  Композитор Пол Херцог
q0015  02:51.5-03:00.6  Оператор Дэвид Уорд
q0016  03:00.6-03:04.6  Художник Дэвид Сироу
q0017  03:06.1-03:08.3  Сэр?
q0018  03:09.9-03:11.1  Виноват.
q0019  03:11.8-03:14.1  Полковник Кук хотел увидеть вас перед увольнением.
q0020  03:14.1-03:15.4  А что случилось?
q0021  03:16.3-03:18.3  Полковник узнал, что вы едете в Гонконг.
q0022  03:18.6-03:19.9  Он хочет поговорить об этом.
q0023  03:20.3-03:21.5  Передайте ему, я приду.
q0024  03:22.4-03:23.6  Вот только душ приму.
q0025  03:24.0-03:25.0  Я вас подожду, сэр.
q0026  03:26.1-03:26.5  Хорошо.
q0027  03:31.4-03:33.1  Что вы там так долго, капитан?
q0028  03:33.8-03:35.7  Автор сюжета Шелдон Летич.
q0029  03:35.9-03:36.3  Капитан!
q0030  03:37.3-03:42.0  Авторы сценария Шелдон Летич, Кристофер Косби и Мел Фридман.
q0031  03:45.4-03:48.5  Черт!
q0032  04:00.5-04:02.7  Режиссер Ньют Арнольд.
q0033  04:07.9-04:08.6  Сэр!
q0034  04:09.7-04:10.5  Где Дюкс?
q0035  04:10.9-04:12.2  Я нашел его в спортзале.
q0036  04:12.5-04:14.6  Он пошел в душ. Я ждал, но он исчез.
q0037  04:14.6-04:15.8  Как это понимать?
q0038  04:16.2-04:17.7  Просто взял и испарился.
q0039  04:18.1-04:20.8  Господи, если в Гонконге он во что-нибудь влипнет,
q0040  04:21.2-04:23.1  отправьте-ка за ним Хелмера и Роулинза.
q0041  04:23.4-04:26.5  Видеть не хочу вашу физиономию, пока Дюкс не вернется.
q0042  04:26.7-04:27.2  Ясно вам?
q0043  04:44.6-04:47.8  Скажите, как он?
q0044  04:47.9-04:49.1  Сейчас он отдыхает.
q0045  04:49.3-04:51.0  Он будет очень рад тебя видеть.
q0046  04:51.5-04:52.9  Я так счастлив, что приехал.
q0047  04:57.0-04:58.9  Я скажу ему, что ты здесь.
q0048  04:59.4-04:59.8  Спасибо.
q0049  05:14.6-05:22.9  Ух ты! Ничего себе меч!
q0050  05:29.2-05:30.4  Давай его свистнем.
q0051  05:31.0-05:33.6  Залезай, Франк. Чего ты ждешь? Струсил?
q0052  05:33.8-05:35.2  Нет. Тогда лезь сюда.
q0053  05:35.9-05:39.6  Вот что, Фрэнк. Если хочешь тусоваться с нами, не будь девчонкой.
q0054  05:41.8-05:44.4  Так и будешь глазами хлопать или возьмешь что-нибудь?
q0055  05:44.6-05:46.6  Черт, они вернулись!
q0056  05:46.6-05:48.6  Сваливаем отсюда!
q0057  05:48.6-05:50.6  Быстрее, Фрэнк!
q0058  05:50.6-05:52.6  За Ново бежим!
q0059  06:10.6-06:12.6  Достаточно, Синго. Иди заниматься.
q0060  06:14.6-06:26.9  Нельзя воровством завладеть катаной.
q0061  06:28.1-06:30.0  Это очень необычное оружие.
q0062  06:31.5-06:33.6  Его нужно заслужить.
q0063  06:34.0-06:35.4  Да я и не собирался красть.
q0064  06:40.9-06:42.6  Ты даже не дрогнул.
q0065  06:43.1-06:44.4  Вижу в тебе дух бойца.
q0066  06:44.6-06:46.7  Вы не станете звонить в полицию?
q0067  06:47.9-06:49.6  Нет, если мы заключим сделку.
q0068  06:50.0-06:51.5  Это какую еще сделку?
q0069  06:52.3-06:54.9  Ваш сын учится в одной школе с моим сыном.
q0070  06:55.7-06:57.7  Фрэнк видел, что умеет мой Синго.
q0071  06:58.9-07:02.0  Он тоже хочет изучать боевые искусства.
q0072  07:02.4-07:04.6  Да, и что же это за искусства такие?
q0073  07:06.7-07:11.0  Фрэнк говорил, вы приехали в Штаты, чтобы выращивать виноград.
q0074  07:11.2-07:13.4  Именно так. Я работаю, наверное, в Виньяр.
q0075  07:13.4-07:16.4  Я приехал в эту страну, чтобы разводить рыбу.
q0076  07:17.6-07:19.4  Мы оба растим сыновей.
q0077  07:20.1-07:23.0  Вы используете науку, чтобы ваш виноград рос лучше.
q0078  07:24.0-07:26.7  Также и детей необходимо взращивать.
q0079  07:27.9-07:30.7  Боевые искусства учат наших детей учиться.
q0080  07:31.6-07:35.3  Приводят ум, тело и дух в гармонию.
q0081  07:40.5-07:41.3  Довольно?
q0082  07:41.3-07:43.4  На сегодня хватит.
q0083  07:43.6-07:44.6  Нет, не хватит.
q0084  07:45.3-07:47.2  Когда же ты сдашься, круглоглазый?
q0085  07:48.6-07:49.7  Давайте еще раз.
q0086  07:51.6-07:52.8  Иди тренируй ноги.
q0087  07:55.1-07:57.3  Но почему вы его тренируете, а меня нет?
q0088  07:58.0-08:00.1  Ты лишь помогаешь мне в обучении сына.
q0089  08:00.4-08:01.3  Хватит вопросов.
q0090  08:01.4-08:03.6  Если вы думаете, что я ваша боксерская груша,
q0091  08:03.7-08:05.0  можете забыть о нашей сделке.
q0092  08:11.3-08:13.3  Давай, давай!
q0093  08:13.3-08:15.3  Давай!
q0094  08:15.3-08:17.3  Давай!
q0095  08:28.3-08:33.3  Когда-нибудь я буду драться на кумиты, и отец будет гордиться.
q0096  08:41.3-08:48.5  Учитель, я тоже чувствую, что потерял родственника.
q0097  08:49.5-08:53.9  Мы с Синго были близкими друзьями, братьями.
q0098  08:53.9-09:00.5  А вы и миссис Танака относились ко мне, как к сыну.
q0099  09:05.7-09:07.6  Скажите мне, что будет теперь?
q0100  09:09.0-09:10.3  Тренировкам конец.
q0101  09:10.3-09:12.2  Ты можешь уходить.
q0102  09:17.1-09:19.9  Но вы многому могли бы меня научить.
q0103  09:21.3-09:23.0  Ты не понимаешь.
q0104  09:25.1-09:27.9  Из-за войны я потерял свою первую семью.
q0105  09:29.0-09:32.4  Своего сына, свою дочь и жену.
q0106  09:35.3-09:37.3  Они жили в Хиросиме.
q0107  09:40.3-09:43.9  Я покинул Японию из-за этой бойни.
q0108  09:44.9-09:46.1  Война – это зло.
q0109  09:47.5-09:50.6  Я приехал сюда, чтобы начать все сначала.
q0110  09:51.7-09:52.9  Я завел новую семью.
q0111  09:53.4-09:54.2  Родил сына.
q0112  09:55.6-09:57.8  Новый шанс передать мое учение.
q0113  09:59.7-10:00.9  Две тысячи лет
q0114  10:00.9-10:05.1  эти знания передавались от отца к сыну.
q0115  10:05.5-10:07.0  От отца к сыну.
q0116  10:10.3-10:14.1  Со смертью Синга эта цепь прервана.
q0117  10:18.6-10:21.4  Учите меня. Я не подведу вас.
q0118  10:22.2-10:24.9  Но ты даже не японец. Ты не из рода Танака.
q0119  10:25.5-10:28.4  Вы говорили, бери лучшие из всех техник.
q0120  10:29.3-10:31.6  Тебе ни к чему ограничивать себя одним стилем.
q0121  10:32.6-10:34.1  Расширяй свое сознание.
q0122  10:35.1-10:36.3  Да, ну...
q0123  10:36.3-10:40.7  Я прославлю вас, учитель.
q0124  11:06.3-11:36.3  Я не могу.
q0125  11:36.3-12:06.3  Субтитры сделал DimaTorzok
q0126  12:06.3-12:36.3  Субтитры создавал DimaTorzok
q0127  12:36.3-13:06.3  Субтитры сделал DimaTorzok
