q0001  00:00.0-00:02.1  Джим, можешь подойти, пожалуйста?
q0002  00:09.0-00:10.4  Привет, Джим.
q0003  00:11.1-00:11.6  Привет.
q0004  00:12.5-00:14.3  Я Харви, компьютер.
q0005  00:14.5-00:15.5  Джим, отстой.
q0006  00:17.6-00:18.4  Прости.
q0007  00:18.7-00:19.1  Забавно.
q0008  00:20.2-00:21.8  Это так грубо.
q0009  00:22.1-00:23.6  Прости, я его не контролирую.
q0010  00:23.9-00:24.8  Контролируете.
q0011  00:24.9-00:26.2  Знаешь что, приведи Пэм.
q0012  00:26.2-00:26.7  Для этого.
q0013  00:27.1-00:27.5  Пэм!
q0014  00:30.0-00:32.9  Пэм, ты сегодня такая красотка.
q0015  00:35.5-00:38.3  Пэм, познакомься с Харви, это новый друг Майкла.
q0016  00:38.4-00:38.8  Отлично.
q0017  00:39.5-00:42.5  Моя такой горячий, моя любить тебя долгий Тим.
q0018  00:43.3-00:44.7  Это грубо.
q0019  00:45.1-00:46.1  Кто такой долгий Тим?
q0020  00:47.0-00:47.5  Чёрт.
q0021  00:49.8-00:50.6  Долгое время.
q0022  00:51.1-00:53.1  Моя любить тебя долгое время.
q0023  00:53.1-00:55.4  Ну, стоит как-нибудь пригласить долгого Тима.
q0024  00:55.4-00:56.8  Я бы хотела с ним познакомиться.
q0025  00:56.9-00:57.3  Да, точно?
q0026  00:57.4-00:57.6  Да.
q0027  00:57.6-01:01.5  Вы испортили хорошую шутку. Уйдите из моего кабинета.
q0028  01:03.0-01:04.9  Хорошо. Пока, Харви.
q0029  01:08.5-01:09.2  Бэлки.
q0030  01:18.4-01:21.0  В ролях Стив Карл,
q0031  01:22.7-01:23.8  Рейн Уилсон,
q0032  01:24.6-01:25.7  Джон Красинский,
q0033  01:25.7-01:27.5  Дженна Фишер,
q0034  01:27.6-01:29.3  И Би Джей Новак.
q0035  01:32.6-01:33.2  Офис.
q0036  01:39.4-01:40.1  Анжела.
q0037  01:40.3-01:40.4  Что?
q0038  01:40.6-01:42.8  Вчера вечером пришло сообщение отправления.
q0039  01:43.8-01:45.9  Они не получили наши налоговые бланки.
q0040  01:46.1-01:46.9  Ты их отправляла?
q0041  01:48.3-01:49.6  Отправилась сегодня утром.
q0042  01:49.9-01:50.7  Ты уверена?
q0043  01:51.3-01:52.8  Это серьёзное дело.
q0044  01:53.1-01:54.0  Это серьёзное дело?
q0045  01:54.2-01:54.9  Правда, Кевин?
q0046  01:57.6-01:59.0  Ты действительно не знала?
q0047  01:59.3-02:00.9  Потому что это серьёзное дело.
q0048  02:03.3-02:05.4  Пятеро из нас перевелись из Стэмфорда.
q0049  02:05.6-02:06.4  Осталось только двое.
q0050  02:06.8-02:08.0  Я и Карен.
q0051  02:08.8-02:11.5  Это как тур по шоколадной фабрике Вилли Вонка.
q0052  02:11.5-02:13.3  Все исчезают один за одним.
q0053  02:14.9-02:15.6  Знаете что?
q0054  02:16.6-02:18.5  Я не упаду в шоколадную реку.
q0055  02:25.4-02:26.6  Всё в порядке?
q0056  02:27.6-02:30.4  Просто отлично. Ты всё ясно дала понять.
q0057  02:30.7-02:31.3  Спасибо.
q0058  02:37.4-02:39.3  Я не... Мне это не нужно.
q0059  02:41.6-02:42.1  Дуайт?
q0060  02:43.2-02:44.4  Присоединишься к нам, наконец?
q0061  02:44.6-02:45.1  Спасибо.
q0062  02:46.9-02:48.7  Что-то Дуайт припозднился.
q0063  02:49.2-02:49.8  Так ведь, Майкл?
q0064  02:49.9-02:50.6  Да, ладно.
q0065  02:51.5-02:53.8  Здесь наша команда мечты.
q0066  02:54.1-02:55.4  Команда мечты продаж.
q0067  02:56.1-02:58.2  Сегодня мы объединимся для продаж.
