q0001  00:00.5-00:01.4  Здравствуй, сын.
q0002  00:02.1-00:04.5  Если ты смотришь это, значит я уже мёртв.
q0003  00:06.1-00:07.1  Жизнь — это...
q0004  00:07.1-00:08.6  Откуда вы знаете, что это будет мальчик?
q0005  00:08.7-00:10.5  Откуда... Прекрати перебивать, пожалуйста.
q0006  00:11.2-00:15.0  Вчера я выскребал какую-то гадость из розетки железной вилкой,
q0007  00:15.5-00:17.2  и меня сильно дёрнуло током.
q0008  00:17.9-00:21.3  А когда я пришёл в себя, у меня текли слёзы.
q0009  00:24.5-00:25.9  Жизнь — это ценность.
q0010  00:25.9-00:35.9  И если я умру, хочу, чтобы мой сын знал цену.
q0011  00:37.3-00:38.3  Ценность жизни.
q0012  00:39.1-00:40.9  Вот то, чему я хочу научить тебя.
q0013  00:41.1-00:42.4  То, чему не научит мать.
q0014  00:42.6-00:45.2  Чтобы завести от прикура, открой капот.
q0015  00:45.9-00:50.6  Потом берешь этих мерзавцев и крепишь их куда угодно на двигатель.
q0016  00:50.6-00:56.2  Потом берёшь это и закрепляешь где угодно
q0017  00:56.2-00:60.0  Урок номер восемь
q0018  00:60.0-01:01.9  Урок, как расстегнуть женский лифчик
q0019  01:01.9-01:02.2  Что?
q0020  01:02.5-01:03.6  Продемонстрируем на Пэм
q0021  01:03.6-01:04.0  Нет
q0022  01:04.0-01:04.8  И?
q0023  01:04.9-01:05.2  Нет
q0024  01:05.2-01:08.6  Давай, ты просто вращаешь рукой, пока...
q0025  01:10.1-01:11.8  Что-то не сломается
q0026  01:11.8-01:14.3  Ну, короче, ты понял
q0027  01:14.3-01:15.5  Спасибо, Пэм
q0028  01:15.5-01:19.9  И помни, несмотря ни на что, я люблю тебя
q0029  01:19.9-01:21.2  А если он убийца?
q0030  01:22.1-01:23.4  Он не станет убийцей.
q0031  01:23.7-01:24.7  Может, так вы и умрёте?
q0032  01:25.1-01:26.1  Знаю что, Дуайт.
q0033  01:26.4-01:27.6  Ты хочешь помочь или нет?
q0034  01:28.4-01:29.3  Я хочу помочь.
q0035  01:29.4-01:29.7  Хорошо.
q0036  01:31.1-01:31.6  Сначала.
q0037  01:31.9-01:32.2  Готов?
q0038  01:33.1-01:33.4  Три.
q0039  01:33.6-01:33.8  Мотор.
q0040  01:39.0-01:41.1  В ролях Стив Карл,
q0041  01:43.4-01:44.7  Рейн Уилсон,
q0042  01:45.4-01:46.4  Джон Красинский,
q0043  01:47.2-01:48.2  Дженна Фишер
q0044  01:48.2-01:49.8  и Би Джей Новак.
q0045  01:49.9-01:54.3  Офис
q0046  01:54.3-01:56.4  Всем привет!
q0047  01:57.3-02:01.5  Как вы знаете, у нас осталось шесть дней до свадьбы Филлис.
q0048  02:03.3-02:06.1  Отнесите костюмы в химчистку и подстригитесь.
q0049  02:06.3-02:10.3  И, Карен, тебе стоит потратиться на платье или юбку.
q0050  02:11.0-02:12.9  Какую-нибудь, если у тебя её нет.
q0051  02:13.4-02:15.7  Это может быть единственная свадьба Филлис.
q0052  02:16.2-02:18.8  Моя задача убедиться, что вы не будете оборванцами.
q0053  02:18.8-02:23.8  Итак, я утверждаю приманокта.
q0054  02:25.9-02:28.6  Приманокта, как я помню, из Храброго Сердца.
q0055  02:29.4-02:36.2  И Википедия подтверждает, это когда король дефлорировал каждую невесту в брачную ночь.
q0056  02:38.7-02:39.8  Так что...
q0057  02:40.6-02:45.8  Простите, у меня было совершенно другое понимание того, что такое приманокта.
q0058  02:45.8-02:52.1  ног-то. Я пытаюсь расшевелить всех к свадьбе Филлис, потому что хочу, чтобы она сделала тоже для
q0059  02:52.1-02:57.9  моей свадьбы, когда придет время. Но это будет несложно, потому что все будет шикарно. Гораздо
q0060  02:57.9-03:04.9  лучше, чем у нее. Я наверняка буду на корабле. Что такое, старые девы? Ничего. У нас будет
q0061  03:04.9-03:11.7  праздничный обед. Только для девочек. Без проблем. А у парней будет своя тусовка. На складе с
q0062  03:11.7-03:13.3  С 2.30 до 3.15.
q0063  03:14.4-03:16.5  Единственное время, когда свободен Боб.
q0064  03:17.7-03:19.6  И по парне отрываются ночью.
q0065  03:19.6-03:21.4  П-О-Н, если угодно.
q0066  03:21.6-03:21.8  Пон.
q0067  03:22.4-03:24.6  Вообще, скорее, парни едят днём.
q0068  03:25.4-03:26.3  П-Е-Эд.
q0069  03:26.4-03:27.0  Бед.
q0070  03:27.8-03:28.0  Нет.
q0071  03:29.1-03:29.6  Нет.
q0072  03:29.6-03:31.5  Это просто...
q0073  03:31.5-03:32.6  Это девичник...
q0074  03:32.6-03:35.3  Для парней.
q0075  03:36.2-03:36.9  Мальчишник.
q0076  03:38.5-03:39.9  Часовой праздник для парней.
q0077  03:39.9-03:52.9  У нас с Джимом была, так сказать, чёрная полоса последние пару недель
q0078  03:52.9-03:55.3  Но мы всё обсудили пару раз
q0079  03:55.3-03:59.0  И сейчас, думаю, всё лучше, чем когда-либо
q0080  03:59.0-04:01.9  У нас с Карен был долгий разговор
q0081  04:01.9-04:03.7  Вчера вечером
q0082  04:03.7-04:06.9  И за день до этого
q0083  04:06.9-04:09.6  И каждый вечер
q0084  04:09.6-04:13.5  Последние пять вечеров
q0085  04:13.5-04:28.4  Между Джимом и Карен что-то происходит
q0086  04:28.4-04:30.7  Не то чтобы я подслушивала
q0087  04:30.7-04:32.9  Это вообще не моё дело
q0088  04:32.9-04:37.7  Но я хорошо умею читать по шее Джима
q0089  04:37.7-04:39.7  Халперт!
q0090  04:40.8-04:43.4  Высокий, чудный и красивый, как всегда.
q0091  04:43.6-04:45.5  Всем привет, это я, Джим.
q0092  04:47.4-04:48.7  Привет, привет.
q0093  04:49.9-04:51.1  Тодд Пекер?
q0094  04:51.6-04:53.2  Карен Филиппелли, девушка Джима.
q0095  04:53.6-04:54.4  Иди ты!
q0096  04:55.1-04:56.0  Иди ты!
q0097  04:56.8-04:57.9  Это грубо.
q0098  04:58.2-05:00.9  Либо у неё яйца, либо Халперта запугали.
q0099  05:01.9-05:03.0  Да? Да?
q0100  05:05.0-05:05.7  Это?
q0101  05:05.7-05:07.7  Что такое?
q0102  05:07.7-05:08.7  Что?
q0103  05:08.7-05:09.7  О боже!
q0104  05:09.7-05:11.7  Быстро, нужна помощь!
q0105  05:24.2-05:24.8  О, боже.
q0106  05:25.1-05:29.7  Он сможет только в это время. С 2.30 до 3.15. Будет здорово.
q0107  05:30.0-05:32.8  Немного поиграем в дартс, немного пожарим стейки.
q0108  05:34.7-05:35.7  Будет пирог.
q0109  05:36.8-05:38.5  Будет очень вкусно.
q0110  05:38.7-05:40.9  А какую стриптизершу заказали?
q0111  05:40.9-05:44.5  Я не заказывал стриптизершу
q0112  05:44.5-05:46.8  В каком смысле не заказывал стриптизершу?
q0113  05:46.9-05:47.4  Нет
q0114  05:47.4-05:49.2  Вообще на мальчишниках бывал?
q0115  05:53.1-05:53.8  Нет
q0116  05:53.8-05:56.1  Лично нет
q0117  05:56.1-05:58.2  Так, Майк
q0118  05:58.2-06:00.4  Стриптизерша на мальчишнике
q0119  06:00.4-06:01.3  Первое дело
q0120  06:01.3-06:02.4  Я... я...
q0121  06:02.4-06:04.1  Не будет стриптизершей вечеринка, отстой
q0122  06:04.1-06:06.7  Я не могу привезти сюда стриптизершу
q0123  06:06.7-06:08.9  Сексуальное домогательство
q0124  06:08.9-06:10.1  Закажи девчонкам тоже
q0125  06:10.1-06:12.4  Это уравняет счёт. Типа равенство порознь.
q0126  06:13.4-06:14.6  Так вот, что это значит.
q0127  06:15.1-06:17.4  Так, всё, небольшое изменение в планах.
q0128  06:17.5-06:21.8  У нас будет две вечеринки, но обе будут более непристойными.
q0129  06:24.1-06:24.7  Отлично!
q0130  06:26.8-06:28.0  Что? Ладно.
q0131  06:28.7-06:31.7  Ладно, голые студенты-старевизёры в офис в полный рост.
q0132  06:31.9-06:35.3  Ни при каких обстоятельствах мужчина не должен снимать одежду в офисе.
q0133  06:35.5-06:36.6  Заткнись, Анжела!
q0134  06:40.1-06:42.1  Эй.
q0135  06:43.7-06:44.4  Эй.
q0136  06:50.0-06:51.3  Всё в порядке?
q0137  06:52.2-06:52.6  Да.
q0138  06:53.6-06:54.1  А что?
q0139  06:55.0-06:57.0  Ну, ты кажешься немного усталым.
q0140  06:58.0-06:58.3  Да.
q0141  06:59.6-07:03.3  Ну, я просто пару ночей уважился поздно.
q0142  07:04.1-07:05.1  Мы с Карен разговаривали.
q0143  07:05.1-07:05.7  разговаривали.
q0144  07:09.4-07:10.9  Тебе надо больше спать.
q0145  07:12.1-07:13.4  Да, знаю, нужно.
q0146  07:13.8-07:15.9  Нельзя недооценивать силу здорового сна.
q0147  07:16.8-07:18.3  Нет, уверен, ты права.
q0148  07:18.3-07:22.8  Мои восемь часов в сравнении с шестью часами – это большая разница.
q0149  07:23.6-07:24.0  Правда?
q0150  07:24.9-07:25.4  О да.
q0151  07:26.3-07:28.0  Надо дойти до фазы быстрого сна,
q0152  07:29.5-07:31.7  с ней весь сон,
q0153  07:33.2-07:34.4  качественнее, чем без нее.
q0154  07:36.0-07:37.4  Хороший совет, Бизли.
q0155  07:37.9-07:38.3  Спасибо.
q0156  07:38.9-07:39.3  Увидимся.
q0157  07:39.6-07:39.8  Да.
q0158  07:42.0-07:43.6  Смотри, не засни за столом.
q0159  07:44.6-07:45.3  Боже мой.
q0160  07:46.4-07:48.3  Ладно, мы уходим.
q0161  07:48.8-07:50.6  Нам с Райаном надо купить кое-что.
q0162  07:51.4-07:55.0  А ты займись стриптизёршами.
q0163  07:55.7-07:56.9  Совершенно точно нет.
q0164  07:57.2-07:58.3  Я займусь.
q0165  07:58.6-08:00.4  Давай займись и сделай как надо.
q0166  08:00.8-08:04.7  Румяные щеки, толстые ляжки, без тату, без родинок.
q0167  08:05.1-08:06.1  Без тату.
q0168  08:07.1-08:08.2  Без тату.
q0169  08:08.5-08:09.1  Конечно, я хочу.
q0170  08:10.1-08:11.4  Хватит, это отвратительно.
q0171  08:11.7-08:13.3  Оставь меня и займись стриптизёром.
q0172  08:13.4-08:13.6  Ладно?
q0173  08:13.8-08:14.9  Я так и знал, Петик.
q0174  08:16.3-08:17.6  Нет предпочтений.
q0175  08:17.9-08:19.4  Что думаешь, рыжая или брюнетка?
q0176  08:21.3-08:21.9  Блондинка.
q0177  08:23.2-08:23.6  Мила.
q0178  08:25.1-08:27.5  У вас есть светловолосые женщины?
q0179  08:29.1-08:29.7  Хм.
q0180  08:29.7-08:36.4  Он ещё ни слова не сказал, только хихикает.
q0181  08:40.4-08:41.8  У вас есть?
q0182  08:42.3-08:42.9  Есть.
q0183  08:48.9-08:49.5  Да?
q0184  08:50.2-08:50.8  Вы в порядке?
q0185  08:51.0-08:52.9  Я в секс-шопе.
q0186  08:53.2-08:54.0  А, понял вас.
q0187  08:54.0-08:59.9  Так, у них есть Альберт Эйнштейн, Бен Франклин или губка-буб-квадратные штаны.
q0188  08:60.0-09:00.8  Квадратные штаны?
q0189  09:00.9-09:02.5  Да, губка-буб-квадратные штаны.
q0190  09:03.4-09:04.8  Думаешь, это будет сексуально?
q0191  09:05.0-09:09.0  Майкл направил меня в мужской стрип-клуб под названием «Подвешенный банан».
q0192  09:10.0-09:13.6  Вместо этого я позвонил с холостическим лектором в Пенсильвании.
q0193  09:14.7-09:16.0  Поддержите дверь, пожалуйста.
q0194  09:16.5-09:17.1  Здравствуйте.
q0195  09:17.6-09:18.3  Благодарю.
q0196  09:18.8-09:19.5  Здравствуйте.
q0197  09:20.9-09:22.0  Вы носите стринги?
q0198  09:22.9-09:23.2  Что?
q0199  09:24.0-09:28.7  Сигристый сидр очень вкусный
q0200  09:28.7-09:30.7  Я думала, это шампанское
q0201  09:30.7-09:32.6  Привет, дамы
q0202  09:32.6-09:35.0  Кто здесь любитель истории?
q0203  09:36.1-09:36.3  Я
q0204  09:36.3-09:38.8  А кто любит голую историю?
q0205  09:40.9-09:42.5  Без лишних слов
q0206  09:42.5-09:46.3  Единственный уникальный сексуальный
q0207  09:46.3-09:48.7  Мистер Бенджамин Франклин
q0208  09:48.7-09:52.5  Спасибо за это представление, мистер Скотт
q0209  09:52.5-09:57.5  И добрый день, милым дамам и джентльменам из Дандермифлин.
q0210  09:59.5-10:01.6  Полуштаны, верно, мистер Франклин?
q0211  10:01.7-10:03.0  Вообще-то, панталоны.
q0212  10:03.2-10:04.5  Да, он в панталонах.
q0213  10:05.0-10:10.9  Мистер Франклин, должен сказать, вы, наверное, один из самых сексуальных президентов.
q0214  10:11.1-10:13.7  Но я никогда не был президентом.
q0215  10:15.0-10:16.5  Да, но Бен Франклин был.
q0216  10:16.5-10:26.5  Я здесь, чтобы рассказать вам о своей жизни и эре отцов-основателей.
q0217  10:41.4-10:44.5  И, мистер Франклин, если дамы будут плохо себя вести,
q0218  10:44.8-10:46.8  даю вам право их отшлёпать.
q0219  10:47.6-10:48.3  Особенно эту.
q0220  10:52.9-10:54.7  Ты раньше стриптизёр видел?
q0221  10:55.1-10:55.6  Да.
q0222  10:56.8-10:59.1  Ленифер Гарнер играла одну в шпионке.
q0223  10:59.1-11:00.7  Это было одно из её прозвищ.
q0224  11:01.3-11:02.4  Да, я тоже не видел.
q0225  11:02.6-11:02.8  Привет.
q0226  11:03.0-11:03.3  Привет.
q0227  11:03.7-11:05.8  Я Элизабет, танцовщица, которую заказывали.
q0228  11:06.5-11:07.1  Ладно.
q0229  11:08.3-11:10.4  Я заказывал стриптизёршу.
q0230  11:11.6-11:12.7  Я стриптизерша.
q0231  11:14.0-11:15.0  Ладно, хорошо.
q0232  11:15.1-11:16.9  В дальнейшем так и представляйтесь.
q0233  11:17.1-11:17.9  О, боже, хорошо.
q0234  11:18.8-11:19.7  Она красивая.
q0235  11:26.0-11:27.5  Ответь, вроде того.
q0236  11:29.1-11:35.6  Это был тёплый июньский вечер 1752-го, вечер моего судьбоносного взлёта.
q0237  11:35.9-11:37.6  Мистер Франклин, а у вас есть девушка?
q0238  11:38.0-11:40.1  Да, у меня прекрасная жена, Дебора.
q0239  11:40.5-11:42.2  Но ведь у вас была девушка в Париже.
q0240  11:43.8-11:44.8  И не одна?
q0241  11:45.2-11:48.7  Это переходная зона моей жизни.
q0242  11:49.2-11:49.5  Ладно?
q0243  11:50.3-11:53.9  Итак, это был тёплый июньский вечер.
q0244  11:53.9-11:54.6  Ты посмотри.
q0245  11:55.5-11:57.9  Нет ничего лучше гриля на свежем воздухе.
q0246  11:59.1-12:01.7  Это тот гриль, на котором вы ноги сушили?
q0247  12:02.3-12:02.6  Нет.
q0248  12:04.1-12:06.1  Да, но я не ставил на него ноги.
q0249  12:06.2-12:06.7  О, боже.
q0250  12:07.1-12:08.1  Ладно, Бен Франклин.
q0251  12:09.6-12:12.8  Бен Франклин завязал черенок от вишни языком.
q0252  12:14.5-12:17.2  Просто я человек эпохи Возрождения.
